Sentence,Top-1 Similar,Top-2 Similar,Top-3 Similar,Top-4 Similar,Top-5 Similar,Top-1 Similarity,Top-2 Similarity,Top-3 Similarity,Top-4 Similarity,Top-5 Similarity,name,video,start,end,speaker,orth,translation,Top-1 Orth,Top-2 Orth,Top-3 Orth,Top-4 Orth,Top-5 Orth,Word_Overlap_Top_1,Word_Overlap_Top_2,Word_Overlap_Top_3,Word_Overlap_Top_4,Word_Overlap_Top_5
und im westen haben wir kaum noch schnee aber es gibt eben auch ausnahmen die mittelgebirge,am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee,morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus,da haben wir am morgen schnee und schneeregen,der sorgt wieder für wolken die regen im bergland auch schnee bringen,regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar,0.8785111,0.87580913,0.8740765,0.8735554,0.8720051,08February_2010_Monday_heute-1498,08February_2010_Monday_heute-1498/1/*.png,-1.0,-1.0,Signer04,WEST KAUM SCHNEE AUFTAUCHEN ABER AUSNAHME ACHTUNG MEER,und im westen haben wir kaum noch schnee aber es gibt eben auch ausnahmen die mittelgebirge,SONNTAG VIEL WOLKE IX REGEN IX UND SCHNEE BERG KOENNEN SCHNEE,MORGEN REGEN KOMMEN WEST KOMMEN SPEZIELL BADEN WUERTTEMBERG BAYERN REGION,MORGEN IX SCHNEE REGEN SCHNEE REGEN,WOLKE REGEN WENN BERG IX AUCH SCHNEE SCHNEIEN,REGEN SCHNEE REGION VERSCHWINDEN NORD REGEN KOENNEN REGION STERN KOENNEN SEHEN,1,1,1,1,1
dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad,es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad,temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad,im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad,mit der leicht kühleren luft dann bis vierundzwanzig grad in der nordhälfte,am samstag im norden sehr windig,0.903153,0.90285814,0.8895695,0.88584024,0.879608,08February_2010_Monday_heute-1501,08February_2010_Monday_heute-1501/1/*.png,-1.0,-1.0,Signer04,WEST MEHR MILD MINUS VIER BIS MINUS SIEBEN,dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad,SAMSTAG KALT MINUS ZEHN TEMPERATUR,TEMPERATUR NULL GRAD KALT NORD MINUS FUENF GRAD,SUEDWEST NULL OST MINUS SIEBEN MOEGLICH,DANN BIS VIER ZWANZIG GRAD REGION,SAMSTAG NORD WIND,1,1,2,2,0
hallo und guten abend liebe zuschauer,guten abend liebe zuschauer,guten abend liebe zuschauer,guten abend liebe zuschauer,guten abend liebe zuschauer,guten abend liebe zuschauer,0.9575195,0.9575195,0.9575195,0.9575195,0.9575195,07April_2010_Wednesday_heute-1619,07April_2010_Wednesday_heute-1619/1/*.png,-1.0,-1.0,Signer05,HALLO GUT ABEND LIEB IX ZUSCHAUER BEGRUESSEN,hallo und guten abend liebe zuschauer,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,GUT ABEND LIEB ZUSCHAUER BEGRUESSEN,5,5,5,5,5
und morgen wird es dann in der südosthälfte nochmal ähnlich werden wie heute allerdings im nordwesten bereits dichtere wolken,und im laufe der nacht oder gegen morgen wahrscheinlich erst wird es dann im südwesten anfangen zu schneien,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer,der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken,in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter,0.87999195,0.8770892,0.87199366,0.8694959,0.86893505,07April_2010_Wednesday_heute-1626,07April_2010_Wednesday_heute-1626/1/*.png,-1.0,-1.0,Signer05,MORGEN SUEDOST WIRKLICH WIE HEUTE UNGEFAEHR NORDWEST WOLKE MEHR IX,und morgen wird es dann in der südosthälfte nochmal ähnlich werden wie heute allerdings im nordwesten bereits dichtere wolken,MORGEN FRUEH WAHRSCHEINLICH SUED REGION MOEGLICH SCHNEE,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,MORGEN IX NORDOST WOLKE UEBERWIEGEND SCHAUER,OST REGION ANFANG FREUNDLICH SPAETER NORDWEST AUCH SONNE SONST REGION WOLKE,MORGEN NORD WOLKE SONNE WECHSELHAFT MOEGLICH SCHAUER GEWITTER,1,1,3,2,2
in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin,und so warm mit zwanzig grad wird es nicht mehr in den nächsten tagen,im verlauf der woche geht es dann unbeständig und sehr mild weiter,am rhein werden es dann wenigstens mal so fünfzehn bis maximal siebzehn grad,am wochenende beruhigt sich dann das wetter langsam,in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee,0.8612885,0.84615546,0.84517026,0.84209377,0.8405273,07April_2010_Wednesday_heute-1630,07April_2010_Wednesday_heute-1630/1/*.png,-1.0,-1.0,Signer05,IM-VERLAUF UMSTELLEN REDUZIEREN KUEHL BESONDERS SAMSTAG SONNTAG,in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin,ZWANZIG GRAD IN-KOMMEND,IN-KOMMEND DANN WECHSELHAFT STARK MILD,FLUSS UNGEFAEHR FUENFZEHN IX SIEBZEHN GRAD,FUER HEUTE WETTER BESSER RUHIG,IM-VERLAUF BLEIBEN KALT ENORM SCHNEE KOENNEN,0,0,0,0,1
unter tiefdruckeinfluss erwartet uns am sonntag recht kühles schauerwetter,morgen erwartet uns nochmals recht ruhiges und vielerorts trockenes winterwetter,am freitag wechselhaftes schauerwetter,aber ab dienstag wird es langsam wieder freundlicher und wärmer,im süden bleibt es morgen unter hochdruckeinfluss zunächst noch recht freundlich und warm,am wochenende scheint meist die sonne und es wird noch wärmer,0.9408536,0.9011752,0.88433754,0.88400656,0.8721342,18July_2009_Saturday_tagesschau-1634,18July_2009_Saturday_tagesschau-1634/1/*.png,-1.0,-1.0,Signer04,KOMMEN TIEF DRUCK DESHALB DEUTSCHLAND REGEN KUEHL REGEN,unter tiefdruckeinfluss erwartet uns am sonntag recht kühles schauerwetter,MORGEN ERWARTEN NOCHEINMAL RUHIG WETTER IX TROCKEN WINTER,FREITAG REGEN WECHSELHAFT,AB DIENSTAG IN-KOMMEND LANGSAM WIEDER ZURUECK FREUNDLICH WARM,SUED REGION MORGEN SOLL HOCH DRUCK NOCH GUT WARM,WOCHENENDE HAUPTSAECHLICH SONNE HIMMEL SCHOEN MEHR WARM,0,1,0,1,0
sechs grad heute nacht am alpenrand bis fünfzehn grad an der oder,vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee,heute nacht elf grad im norden und ein grad an den alpen,heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen,heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad,an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad,0.92966884,0.91955745,0.9178312,0.9111725,0.90585023,18July_2009_Saturday_tagesschau-1640,18July_2009_Saturday_tagesschau-1640/1/*.png,-1.0,-1.0,Signer04,ALPEN SUED NACHT SECHS MAXIMAL FUENFZEHN FLUSS,sechs grad heute nacht am alpenrand bis fünfzehn grad an der oder,HEUTE NACHT ALLGAEU IX NORD VIER GRAD FLUSS DANN NORD DREIZEHN,HEUTE NACHT NORD REGION ELF GRAD ALPEN EINS GRAD,HEUTE NACHT VIERZEHN IX UNTEN ALPEN VIER DANN,HEUTE NACHT ZWISCHEN NEUNZEHN ZWISCHEN FUENFZEHN SUEDOST MAXIMAL ZWOELF,FLUSS MILD SECHSZEHN GRAD FLUSS NUR ACHT GRAD,2,2,2,3,1
ähnliches wetter auch am donnerstag,ähnliches wetter auch am donnerstag,ähnliches wetter dann auch am donnerstag,am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,am freitag beruhigt sich das wetter wieder,und das wetter bringt dort auch noch sonnenschein am vormittag zumindest,1.0,0.9739457,0.88332754,0.8639213,0.8271969,13October_2009_Tuesday_tagesschau-1657,13October_2009_Tuesday_tagesschau-1657/1/*.png,-1.0,-1.0,Signer01,AEHNLICH WETTER DONNERSTAG,ähnliches wetter auch am donnerstag,GLEICH WETTER AUCH DONNERSTAG,AUCH DONNERSTAG,DONNERSTAG NORDWEST REGEN REGION SONNE WOLKE WECHSELHAFT DANN FREITAG AEHNLICH WETTER,FREITAG MEHR RUHIG,NOCH SONNE VOR MITTAG NOCH,2,1,3,0,0
ähnliches wetter auch am donnerstag,ähnliches wetter auch am donnerstag,ähnliches wetter dann auch am donnerstag,am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag,am freitag beruhigt sich das wetter wieder,und das wetter bringt dort auch noch sonnenschein am vormittag zumindest,1.0,0.9739457,0.88332754,0.8639213,0.8271969,24July_2011_Sunday_tagesschau-6632,24July_2011_Sunday_tagesschau-6632/1/*.png,-1.0,-1.0,Signer04,GLEICH WETTER AUCH DONNERSTAG,ähnliches wetter auch am donnerstag,GLEICH WETTER AUCH DONNERSTAG,AUCH DONNERSTAG,DONNERSTAG NORDWEST REGEN REGION SONNE WOLKE WECHSELHAFT DANN FREITAG AEHNLICH WETTER,FREITAG MEHR RUHIG,NOCH SONNE VOR MITTAG NOCH,4,2,2,0,0
am freitag ist es im südwesten zunächst freundlich,am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,am samstag ist es wieder unbeständig,im westen ist es freundlich,am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter,0.8900751,0.886231,0.8816245,0.878139,0.8640388,13October_2009_Tuesday_tagesschau-1658,13October_2009_Tuesday_tagesschau-1658/1/*.png,-1.0,-1.0,Signer01,FREITAG SUEDWEST SONNE IM-VERLAUF,am freitag ist es im südwesten zunächst freundlich,DONNERSTAG SUEDOST WEITER WECHSELHAFT NORDWEST MEHR FREUNDLICH SONNE,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,SAMSTAG WECHSELHAFT,WEST FREUNDLICH,DIENSTAG WEST FREUNDLICH IX SCHAUER GEWITTER,1,0,0,0,0
sonst regnet es zeitweise,am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken,im südosten regnet es teilweise länger,auch am wochenende schneit es zeitweise,im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,0.87975276,0.8762322,0.87560683,0.87265563,0.86032826,13October_2009_Tuesday_tagesschau-1659,13October_2009_Tuesday_tagesschau-1659/1/*.png,-1.0,-1.0,Signer01,SONST REGEN,sonst regnet es zeitweise,SAMSTAG IX NOCH BISSCHEN REGEN SONST REGION FREUNDLICH TROCKEN,SUEDOST DURCH REGEN,WOCHENENDE AUCH IX SCHNEE KOENNEN,NORDOST HEUTE NACHT TROCKEN IN-KOMMEND REGEN NORDWEST REGEN,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,2,1,0,1,1
in den übrigen landesteilen wird es meist freundlich dank einer hochdruckzone die von der biskaya bis zu den shetlandinseln reicht,heute nacht breitet sich von westen regen aus der teilweise ergiebig sein kann,das hoch über den azoren weitet sich bis nach süddeutschland aus,am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch,der teilweise kräftige regen breitet sich im tagesverlauf über die mitte weiter nach süden aus,dabei breiten sich heute nacht von nordwesten regenfälle bis in die mitte aus,0.8318126,0.8315194,0.82269627,0.8183943,0.81276155,03July_2011_Sunday_tagesschau-1665,03July_2011_Sunday_tagesschau-1665/1/*.png,-1.0,-1.0,Signer04,REGION MEHR FREUNDLICH HOCH DRUCK KOMMEN BIS REGION,in den übrigen landesteilen wird es meist freundlich dank einer hochdruckzone die von der biskaya bis zu den shetlandinseln reicht,HEUTE NACHT WEST KOMMEN REGEN KOENNEN,A REGION WETTER BIS SUED DEUTSCHLAND KOMMEN,SONNTAG SPEZIELL REGION GEWITTER NORD MEHR SONNE,AUCH BISSCHEN SONNE MORGEN MEISTENS REGEN TAG IM-VERLAUF KOMMEN,HEUTE NACHT IX NORDWEST REGEN KOMMEN REGION,1,3,2,1,2
am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter,am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter,und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,am dienstag ist es meist freundlich im nordosten halten sich dichtere wolken mit etwas regen,am sonntag vor allem im osten und süden noch schauer oder gewitter sonst überwiegend freundlich,0.9108309,0.9035953,0.90331274,0.90193534,0.8992799,03July_2011_Sunday_tagesschau-1672,03July_2011_Sunday_tagesschau-1672/1/*.png,-1.0,-1.0,Signer04,DIENSTAG WEST FREUNDLICH IX SCHAUER GEWITTER,am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter,MONTAG WECHSELHAFT MAL SONNE WOLKE BESONDERS REGION SCHAUER GEWITTER,SUED REGION BESONDERS BAYERN WALD BIS ALPEN DANN REGEN NACH MITTAG KOENNEN,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,DIENSTAG HAUPTSAECHLICH SONNE NORDOST WOLKE MOEGLICH REGEN,SONNTAG UEBERWIEGEND OST SUED SCHAUER GEWITTER REGION FREUNDLICH,2,0,3,1,3
die hochwassergefahr steigt wieder es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes,es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes,der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben,der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben,es gelten entsprechende warnungen des deutschen wetterdienstes,der deutsche wetterdienst hat entsprechende warnungen herausgegeben,0.94119304,0.86580247,0.86580247,0.86368245,0.7889069,12January_2011_Wednesday_tagesschau-1727,12January_2011_Wednesday_tagesschau-1727/1/*.png,-1.0,-1.0,Signer05,HOCH WASSER GEFAHR WETTER DIENST WARNUNG UNWETTER,die hochwassergefahr steigt wieder es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes,AUCH DEUTSCH WETTER DIENST SCHON WARNUNG UNWETTER KOENNEN,DEUTSCH WETTER DIENST BEKANNTGEBEN MOEGLICH GEWITTER KOMMEN,DEUTSCH WETTER DIENST BEKANNTGEBEN MOEGLICH GEWITTER KOMMEN,IX SCHON WARNUNG DEUTSCH WETTER DIENST STURM KOENNEN,DEUTSCH WETTER DIENST SCHON WARNUNG EINIGE GEWESEN,4,2,2,3,3
und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam,im westen und nordwesten beruhigt sich das wetter später wieder,am wochenende beruhigt sich dann das wetter langsam,dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte,der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken,da ist der boden noch gefroren am rhein wie gesagt da entspannt sich die lage bei plusgraden,0.90389997,0.88606954,0.87642246,0.8750625,0.8744567,09March_2011_Wednesday_heute-1741,09March_2011_Wednesday_heute-1741/1/*.png,-1.0,-1.0,Signer01,SUEDOST REGION VERSCHWINDEN LANGSAM IM-VERLAUF,und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam,WEST NORDWEST VERSCHWINDEN,FUER HEUTE WETTER BESSER RUHIG,NORD REGION IX KOMMEN MEISTENS NORD DEUTSCH LAND HEUTE ABEND MEHR KOMMEN,MANCHMAL MORGEN LANG DAUER NEBEL WOLKE ABER TROCKEN,BODEN GEFRIEREN FLUSS IX BERUHIGEN PLUS STEIGEN,1,0,1,0,0
am tag drei grad auf usedom bis zwölf grad im emsland,am tag vier grad im sauerland und zwölf grad im breisgau,am tag neunzehn grad an der nordsee und sechsundzwanzig grad in teilen thüringens und sachsens,am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden,am tag sieben grad an der ostsee und fünfzehn grad am rhein,an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad,0.93363154,0.93222576,0.92442524,0.92432,0.92046744,25February_2010_Thursday_tagesschau-1761,25February_2010_Thursday_tagesschau-1761/1/*.png,-1.0,-1.0,Signer05,U IX MORGEN DREI FLUSS BIS DREI GRAD,am tag drei grad auf usedom bis zwölf grad im emsland,TAG SAUER LAND VIER REGION ZWOELF GRAD,NEUNZEHN GRAD NORD SECHS ZWANZIG THUERINGEN SACHSEN TAG KLAR,NACHMITTAG MITTE REGION ZEHN GRAD SUED SECHSZEHN GRAD,OST SIEBEN GRAD FUENFZEHN FLUSS,FLUSS MILD SECHSZEHN GRAD FLUSS NUR ACHT GRAD,1,1,1,2,2
am freitag teils sonne teils wolken im äußersten süden anfangs noch regnerisch,in der nordwesthälfte teils freundlich teils wolkig und meist trocken,am sonntag vor allem im osten und süden noch schauer oder gewitter sonst überwiegend freundlich,am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen,am tag in der nordhälfte etwas regen schnee oder gefrierender regen,ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig,0.89767814,0.8937608,0.8935808,0.8865053,0.8845247,12August_2009_Wednesday_tagesschau-1806,12August_2009_Wednesday_tagesschau-1806/1/*.png,-1.0,-1.0,Signer05,FREITAG SONNE WOLKE SUED ANFANG REGEN,am freitag teils sonne teils wolken im äußersten süden anfangs noch regnerisch,NORD MEHR GUT MANCHMAL WOLKE TROCKEN,SONNTAG UEBERWIEGEND OST SUED SCHAUER GEWITTER REGION FREUNDLICH,SUED SONNTAG OFT SONNE SONST REGION VIEL WOLKE ORT REGEN,NORD BISSCHEN REGEN SCHNEE HAGEL,SONNTAG MEHR MILD VIEL WOLKE REGEN NORDWEST WIND,1,1,4,1,2
der teilweise kräftige regen breitet sich im tagesverlauf über die mitte weiter nach süden aus,das hoch über den azoren weitet sich bis nach süddeutschland aus,am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch,der nordwestwind bläst schwach bis mäßig in der nordosthälfte auch frisch in den hochlagen der östlichen mittelgebirge stark böig,teilweise kräftiger regen zieht heute nacht über uns ostwärts,im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei,0.8812015,0.871232,0.86387485,0.86187255,0.86066103,05November_2010_Friday_tagesschau-1872,05November_2010_Friday_tagesschau-1872/1/*.png,-1.0,-1.0,Signer07,AUCH BISSCHEN SONNE MORGEN MEISTENS REGEN TAG IM-VERLAUF KOMMEN,der teilweise kräftige regen breitet sich im tagesverlauf über die mitte weiter nach süden aus,A REGION WETTER BIS SUED DEUTSCHLAND KOMMEN,SONNTAG SPEZIELL REGION GEWITTER NORD MEHR SONNE,WIND WEHEN SCHWACH MAESSIG WEHEN KOENNEN STARK,TEILWEISE REGEN KOMMEN IX,NORD NORDWEST MEISTENS REGEN AUCH MOEGLICH BISSCHEN GEWITTER,1,1,0,2,4
an der elbe einzelne schauer im nordwesten aber schon wieder deutlich freundlicher,am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher,am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer,die neue woche beginnt noch wechselhaft und etwas kühler,am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer,morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer,0.90177476,0.886703,0.88419694,0.8813992,0.8809938,31May_2011_Tuesday_heute-1904,31May_2011_Tuesday_heute-1904/1/*.png,-1.0,-1.0,Signer01,FLUSS REGION SCHAUER NORDWEST WARM KOMMEN,an der elbe einzelne schauer im nordwesten aber schon wieder deutlich freundlicher,MITTWOCH NORD REGEN SUED MEHR FREUNDLICH,SAMSTAG SUED FREUNDLICH NORD EINIGE SCHAUER,MONTAG WECHSELHAFT BISSCHEN KUEHL,SAMSTAG HAUPTSAECHLICH MEHR WOLKE SONNE WENIG IX SUEDOST REGEN KOENNEN SUEDWEST BISSCHEN SCHAUER,MORGEN IX NORDOST WOLKE UEBERWIEGEND SCHAUER,0,1,0,1,1
sonst einzelne schauer an der nordsee auch gewitter,heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter,sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer,am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer,auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter,in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter,0.9378556,0.89899004,0.8970321,0.8950949,0.8886979,28December_2011_Wednesday_tagesschau-1912,28December_2011_Wednesday_tagesschau-1912/1/*.png,-1.0,-1.0,Signer04,IX NACHMITTAG KOMMEN REGEN VIERHUNDERT ACHTHUNDERT METER UEBER SCHNEE,sonst einzelne schauer an der nordsee auch gewitter,HEUTE NACHT WAHRSCHEINLICH SCHAUER IX AUCH GEWITTER,SONNE BISSCHEN WOLKE NORDWEST NACHMITTAG BISSCHEN SCHAUER,SONNTAG NORD WOLKE IX SCHAUER,DIENSTAG MITTWOCH SONNE WOLKE WECHSELHAFT SCHAUER TYPISCH REGION REGEN GEWITTER KOENNEN,MORGEN NORD WOLKE SONNE WECHSELHAFT MOEGLICH SCHAUER GEWITTER,1,1,1,1,0
zunächst regnet es richtung südosten noch etwas im bergland auch schnee am nachmittag regnet es im westen und nordwesten,am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland,am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden,gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten,am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter,am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen,0.8952083,0.88913786,0.88479435,0.8793503,0.87657195,08December_2009_Tuesday_tagesschau-1938,08December_2009_Tuesday_tagesschau-1938/1/*.png,-1.0,-1.0,Signer02,SUED OST NOCH REGEN BERG SCHNEE NORD REGION NACH MITTAG ANFANG REGEN,zunächst regnet es richtung südosten noch etwas im bergland auch schnee am nachmittag regnet es im westen und nordwesten,TAG OST VIEL SONNE WEST REGEN FLUSS REGION,MONTAG HEFTIG REGEN NORDOST REGEN AUCH DAZU WIND REGION,NACH MITTAG ABEND BISSCHEN REGEN NORD WEST,MONTAG WECHSELHAFT MAL SONNE WOLKE BESONDERS REGION SCHAUER GEWITTER,FREITAG SUEDWEST SCHNEE REGEN TIEF WEST AUCH HABEN2 REGEN,3,2,4,1,2
und nun die wettervorhersage für morgen mittwoch den achten september,und nun die wettervorhersage für morgen samstag den zwölften september,und nun die wettervorhersage für morgen dienstag den vierzehnten september,und nun die wettervorhersage für morgen donnerstag den achten april,und nun die wettervorhersage für morgen montag den zwölften april,und nun die wettervorhersage für morgen mittwoch den zwölften januar,0.98349243,0.9807499,0.9717244,0.97134507,0.96735346,07September_2010_Tuesday_tagesschau-1945,07September_2010_Tuesday_tagesschau-1945/1/*.png,-1.0,-1.0,Signer05,JETZT WETTER WIE-AUSSEHEN MORGEN MITTWOCH ACHTE SEPTEMBER,und nun die wettervorhersage für morgen mittwoch den achten september,JETZT WETTER MORGEN SAMSTAG ZWOELF SEPTEMBER,WETTER MORGEN SIE DIENSTAG VIERZEHN SEPTEMBER,JETZT WIE-AUSSEHEN MORGEN DONNERSTAG ACHTE APRIL WETTER,JETZT WETTER MORGEN MONTAG ZWOELF APRIL ZEIGEN-BILDSCHIRM,JETZT WIE-AUSSEHEN IX WETTER MORGEN MITTWOCH ZWOELFTE JANUAR,4,3,5,3,5
schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen,schwacher bis mäßiger im norden auch frischer wind aus ost bis südost an der nordsee und auf den bergen ist er stark mit stürmischen böen,der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen,der nordwestwind bläst schwach bis mäßig in der nordosthälfte auch frisch in den hochlagen der östlichen mittelgebirge stark böig,dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen,im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen,0.94359994,0.9209692,0.9194427,0.9136741,0.90728295,07September_2010_Tuesday_tagesschau-1954,07September_2010_Tuesday_tagesschau-1954/1/*.png,-1.0,-1.0,Signer05,NORD FRISCH IX WEHEN IX WEHEN IM-VERLAUF SPAETER NORD STARK WEHEN,schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen,SCHWACH NORD STURM WEHEN NORD SUED SCHWER WEHEN STURM,WIND ZEIGEN-BILDSCHIRM WIND WEHEN WIND KOENNEN OST REGION HOCH STURM KOENNEN,WIND WEHEN SCHWACH MAESSIG WEHEN KOENNEN STARK,SUED WIND NUR SCHWACH NORD WEHEN BISSCHEN WEHEN KUESTE STARK STURM WEHEN DAS-WAR-ES,NORD WIND SCHWACH MAESSIG IX WEHEN SONST REGION VERSCHIEDEN WEHEN,2,1,2,3,3
am donnerstag regnet es vor allem im süden und osten mancherorts,am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt,am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken,am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland,gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten,heute nacht gibt es im norden und nordosten viele wolken örtlich regnet oder nieselt es etwas,0.90299606,0.8906809,0.88600045,0.8805549,0.8802445,11May_2010_Tuesday_tagesschau-1969,11May_2010_Tuesday_tagesschau-1969/1/*.png,-1.0,-1.0,Signer01,DONNERSTAG BESONDERS SUED SUEDOST REGEN IX,am donnerstag regnet es vor allem im süden und osten mancherorts,MONTAG FAST UEBERALL SONNE MEER BERG IX MEHR WOLKE ABER NUR BISSCHEN ORT REGEN,SAMSTAG IX NOCH BISSCHEN REGEN SONST REGION FREUNDLICH TROCKEN,TAG OST VIEL SONNE WEST REGEN FLUSS REGION,NACH MITTAG ABEND BISSCHEN REGEN NORD WEST,HEUTE NACHT NORD NORDOST IX REGEN,2,2,1,1,2
