Sentence	Top-1 Similar	Top-2 Similar	Top-3 Similar	Top-4 Similar	Top-5 Similar	Top-1 Similarity	Top-2 Similarity	Top-3 Similarity	Top-4 Similarity	Top-5 Similarity
abseits der gewitter schwacher bis mäßiger wind	im süden schwacher wind	der wind weht mäßig bis frisch mit starken bis stürmischen böen im bergland teilweise schwere sturmböen im südosten mitunter nur schwacher wind	morgen schwacher bis mäßiger an der see frischer wind aus südwest bis west	der wind weht schwach bis mäßig an der nordsee und im bergland auch frischer wind	im westen und nordwesten frischer wind	0.9163558	0.8971214	0.89105666	0.8754829	0.87204427
vom südwesten bis in die mitte bleibt es meist trocken	westlich des rheins und im nordosten bleibt es meist trocken	später ist es meist trocken	im äußersten südosten sowie zwischen nordsee und mosel ist es meist trocken	im nordosten bleibt es meist trocken	ansonsten bleibt es unter hochdruckeinfluss meist trocken und tagsüber auch teilweise freundlich	0.957569	0.931192	0.91518235	0.9148615	0.910206
morgen temperaturen von achtzehn grad an der küste bis sechsundzwanzig im breisgau	morgen temperaturen von fünfzehn grad an der nordsee bis vierundzwanzig am rhein	heute nacht temperaturen von zehn grad in der eifel bis achtzehn in der lausitz	morgen reichen die temperaturen von neun grad an der ostsee bis siebzehn grad im breisgau	morgen reichen die temperaturen von zweiundzwanzig grad an der ostsee bis zweiunddreißig grad am oberrhein	morgen temperaturen von acht grad im nordosten bis siebzehn im südwesten	0.9572257	0.94257873	0.9406884	0.92238975	0.9144451
dazu weht ein starker wind vor allen dingen wieder über vorpommern aus südost	es bläst ein mäßiger im norden mitunter frischer an der küste auch starker wind aus südwest bis west	morgen vormittag an der ostsee noch starke böen sonst weht der wind schwach bis mäßig aus ost bis südost	und dann drängen die neuen wolken heran hier im nordwesten die können am nachmittag erste spritzer regen an der nordsee bringen und der wind frischt dazu auf aus süd südwest	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	teilweise kräftiger regen zieht heute nacht über uns ostwärts	0.8937057	0.88597536	0.88418114	0.87917066	0.87569606
ab sonntag geht es dann wieder abwärts es wird wechselhafter	ab sonntag steigen dann temperaturen und sonnenscheindauer wieder	aber ab dienstag wird es langsam wieder freundlicher und wärmer	am wochenende scheint meist die sonne und es wird noch wärmer	auch am samstag regnet oder schneit es verbreitet später wird es im westen und norden freundlicher	im weiteren verlauf breitet sich der regen richtung osten aus dann wird es im westen freundlicher	0.87536514	0.86673516	0.86227566	0.8620337	0.8566599
milder bleibt es unter den regenwolken im osten mit fünfzehn sechzehn grad	östlich also über osteuropa noch hochsommerlich warm mit um die fünfundzwanzig grad	ganz anders die trockene hitze über russland mit fünfunddreißig bis vierzig grad	heute nacht schwül warme dreizehn bis achtzehn grad	an der nordsee nur kühle sechzehn grad	in küstennähe morgen kühle fünfzehn bis sechzehn entlang des rheins dreiundzwanzig bis sechsundzwanzig grad	0.91265273	0.9000221	0.89457196	0.89451635	0.8925794
und nun die wettervorhersage für morgen dienstag den einundzwanzigsten juni	und nun die wettervorhersage für morgen freitag den fünfundzwanzigsten juni	und nun die wettervorhersage für morgen freitag den vierundzwanzigsten juli	und nun die wettervorhersage für morgen dienstag den fünfundzwanzigsten mai	und nun die wettervorhersage für morgen montag den fünfundzwanzigsten januar	und nun die wettervorhersage für morgen sonntag den zwölften juli	0.99139345	0.9702431	0.967346	0.96433234	0.960966
an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	am niederrhein heute nacht vierzehn im osten örtlich nur sechs grad	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	heute nacht liegen die werte zwischen vierzehn und sieben grad	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	0.9419416	0.93440664	0.93057835	0.92951393	0.9288163
am hochrhein morgen schwül warme dreißig an der nordsee frische achtzehn grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	an der nordsee nur kühle sechzehn grad	heute nacht schwül warme dreizehn bis achtzehn grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	0.9558669	0.9494864	0.9413401	0.94095075	0.93575245
und in dieser kühleren eigentlich angenehmeren luft gibt es am donnerstag zumindest im norden noch kräftigen regen stürmischen wind	am wochenende wird es dann etwas wärmer das ganze bei wechselhaftem wetter mit schauern gewittern und gelegentlichem sonnenschein	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter	gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	0.86935616	0.86249715	0.8621568	0.85912216	0.8572345
sehr milde luft strömt zu uns	relativ kühle luft strömt zu uns nach deutschland	eine frostig kalte nacht liegt vor uns	vom atlantik strömt etwas weniger milde luft zu uns	zwischen dem tief bei schottland und dem hoch über südeuropa strömt morgen milde luft zu uns nach deutschland	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	0.92928004	0.8849187	0.8845402	0.86103207	0.85054696
und nun die wettervorhersage für morgen dienstag den neunzehnten april	und nun die wettervorhersage für morgen montag den achtzehnten april	und nun die wettervorhersage für morgen dienstag den vierzehnten september	und nun die wettervorhersage für morgen donnerstag den achten april	und nun die wettervorhersage für morgen montag den zwölften april	und nun die wettervorhersage für morgen donnerstag den fünfzehnten oktober	0.9923666	0.97365576	0.9727277	0.97199994	0.9703212
morgen vielerorts schauer vor allem im süden und osten noch einige gewitter mitunter regnet es kräftig auch unwetter sind weiter möglich	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	auch am montag mehr wolken als sonne teilweise regnet es länger und kräftig auch gewitter sind dabei	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	richtung westen gibt es im tagesverlauf vermehrt wolken es bleibt aber weitgehend trocken	in der nacht muss vor allem in der nordwesthälfte mit schauern und gewittern gerechnet werden die heftig ausfallen können	0.9044577	0.8913275	0.8894927	0.88235414	0.87707144
heute nacht ist es meist stark bewölkt örtlich regnet oder nieselt es etwas	heute nacht gibt es im süden anfangs noch vereinzelte schauer oder gewitter sonst ist es meist klar oder nur locker bewölkt	am montag ist es meist stark bewölkt hier und da regnet es	am tag ist es meist stark bewölkt oder neblig trüb	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	am tag ist es überwiegend stark bewölkt oder neblig trüb	0.9034052	0.8983768	0.8956262	0.89534384	0.89372087
richtung nordosten gibt es mehr wolken hier und da etwas regen	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	richtung norden und westen ist es recht freundlich	sonnig geht es auch ins wochenende samstag ein herrlicher tag mit temperaturen bis siebzehn grad hier im westen	morgen scheint verbreitet die sonne hier und da tauchen auch mal ein paar dichtere wolken auf	0.90264416	0.8909245	0.8908869	0.89024734	0.88892114
am freitag scheint abseits der nebelgebiete häufig die sonne	in der osthälfte scheint abseits der nebelgebiete häufig die sonne	morgen scheint dann wieder überall die sonne	und morgen vormittag beziehungsweise bis zum nachmittag wahrscheinlich sogar noch scheint in der osthälfte noch die sonne	es scheint häufig die sonne	nach dessen auflösung scheint morgen verbreitet die sonne	0.96444416	0.89890766	0.8945782	0.8901563	0.8900728
im norden und westen morgen zwanzig bis dreiundzwanzig sonst sommerliche fünfundzwanzig bis neunundzwanzig grad	im erzgebirge morgen dreizehn sonst fünfzehn bis zweiundzwanzig grad	dort morgen sommerlich heiße dreißig grad im emsland kühle sechzehn grad	heute nacht schwül warme dreizehn bis achtzehn grad	an der nordsee morgen fünfzehn am hochrhein immerhin bis dreiundzwanzig grad	da haben wir morgen schon die dreißig grad morgen im süden von frankreich auch und für uns wahrscheinlich schon im südwesten die fünfundzwanzig grad	0.95562446	0.9466968	0.9375518	0.93703836	0.93640655
dazu gehört ein tiefdruckgebiet mit milder luft im gepäck	und vor allem im nordwesten kann die sonne rauskommen bei einem frischen nord bis nordostwind	sonst zieht das regengebiet nach osten	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	dazu weht nur ein leichter südwind	dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad	0.8248677	0.8205552	0.81937057	0.81879413	0.81863964
da ist der boden noch gefroren am rhein wie gesagt da entspannt sich die lage bei plusgraden	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad	sonst zieht das regengebiet nach osten	in der nacht sinken die temperaturen auf vierzehn bis sieben grad	0.8924662	0.8894376	0.8845837	0.8816346	0.88079774
es bleibt meist trüb wie auf diesem bild hier	es bleibt windig	sonst ist es recht freundlich	in der mitte lockert es auch mal auf	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	es wird morgen ein ziemlich trüber tag bei uns in deutschland	0.8121397	0.8065139	0.80568296	0.7964483	0.79480326
und im westen haben wir kaum noch schnee aber es gibt eben auch ausnahmen die mittelgebirge	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	da haben wir am morgen schnee und schneeregen	der sorgt wieder für wolken die regen im bergland auch schnee bringen	regen und schnee lassen an den alpen in der nacht nach im norden und nordosten fallen hier und da schauer sonst ist das klar	0.8785111	0.87580913	0.8740765	0.8735554	0.8720051
dazu im westen allerdings etwas milder mit minus vier bis minus sieben grad	es bleibt noch mal kalt am samstag knackig bis höchsttemperaturen minus zehn grad	temperaturen nur so um die null grad am kältesten im norden bis minus fünf grad	im südwesten morgen werte um den gefrierpunkt im osten bis minus sieben grad	mit der leicht kühleren luft dann bis vierundzwanzig grad in der nordhälfte	am samstag im norden sehr windig	0.903153	0.90285814	0.8895695	0.88584024	0.879608
hallo und guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	guten abend liebe zuschauer	0.9575195	0.9575195	0.9575195	0.9575195	0.9575195
und morgen wird es dann in der südosthälfte nochmal ähnlich werden wie heute allerdings im nordwesten bereits dichtere wolken	und im laufe der nacht oder gegen morgen wahrscheinlich erst wird es dann im südwesten anfangen zu schneien	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	der tag beginnt ganz im osten noch freundlich später zeigt sich dann auch im nordwesten häufiger die sonne sonst überwiegen die wolken	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	0.87999195	0.8770892	0.87199366	0.8694959	0.86893505
in den nächsten tagen wird das dann nicht mehr der fall sein dann wird es insgesamt ein bisschen kühler vor allen dingen zum wochenende hin	und so warm mit zwanzig grad wird es nicht mehr in den nächsten tagen	im verlauf der woche geht es dann unbeständig und sehr mild weiter	am rhein werden es dann wenigstens mal so fünfzehn bis maximal siebzehn grad	am wochenende beruhigt sich dann das wetter langsam	in den nächsten tagen geht es auf jeden fall winterlich weiter immer wieder mal mit etwas schnee	0.8612885	0.84615546	0.84517026	0.84209377	0.8405273
unter tiefdruckeinfluss erwartet uns am sonntag recht kühles schauerwetter	morgen erwartet uns nochmals recht ruhiges und vielerorts trockenes winterwetter	am freitag wechselhaftes schauerwetter	aber ab dienstag wird es langsam wieder freundlicher und wärmer	im süden bleibt es morgen unter hochdruckeinfluss zunächst noch recht freundlich und warm	am wochenende scheint meist die sonne und es wird noch wärmer	0.9408536	0.9011752	0.88433754	0.88400656	0.8721342
sechs grad heute nacht am alpenrand bis fünfzehn grad an der oder	vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee	heute nacht elf grad im norden und ein grad an den alpen	heute nacht werte zwischen vierzehn grad an der see und vier grad an den alpen	heute nacht neunzehn bis fünfzehn grad im südosten bis zwölf grad	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	0.92966884	0.91955745	0.9178312	0.9111725	0.90585023
ähnliches wetter auch am donnerstag	ähnliches wetter auch am donnerstag	ähnliches wetter dann auch am donnerstag	am donnerstag regen in der nordhälfte in der südhälfte mal sonne mal wolken ähnliches wetter dann auch am freitag	am freitag beruhigt sich das wetter wieder	und das wetter bringt dort auch noch sonnenschein am vormittag zumindest	1.0	0.9739457	0.88332754	0.8639213	0.8271969
am freitag ist es im südwesten zunächst freundlich	am donnerstag ist es in der südosthälfte weiterhin wechselhaft nach nordwesten hin ist es freundlich	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	am samstag ist es wieder unbeständig	im westen ist es freundlich	am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter	0.8900751	0.886231	0.8816245	0.878139	0.8640388
sonst regnet es zeitweise	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	im südosten regnet es teilweise länger	auch am wochenende schneit es zeitweise	im südosten ist es heute nacht trocken sonst regnet es zeitweise in der nordhälfte teilweise kräftig	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	0.87975276	0.8762322	0.87560683	0.87265563	0.86032826
in den übrigen landesteilen wird es meist freundlich dank einer hochdruckzone die von der biskaya bis zu den shetlandinseln reicht	heute nacht breitet sich von westen regen aus der teilweise ergiebig sein kann	das hoch über den azoren weitet sich bis nach süddeutschland aus	am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch	der teilweise kräftige regen breitet sich im tagesverlauf über die mitte weiter nach süden aus	dabei breiten sich heute nacht von nordwesten regenfälle bis in die mitte aus	0.8318126	0.8315194	0.82269627	0.8183943	0.81276155
am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	und im süden besonders vom bayerischen wald bis zu den alpen gibt es am nachmittag einzelne schauer und gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	am dienstag ist es meist freundlich im nordosten halten sich dichtere wolken mit etwas regen	am sonntag vor allem im osten und süden noch schauer oder gewitter sonst überwiegend freundlich	0.9108309	0.9035953	0.90331274	0.90193534	0.8992799
die hochwassergefahr steigt wieder es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	es gelten entsprechende unwetterwarnungen des deutschen wetterdienstes	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	der deutsche wetterdienst hat entsprechende unwetterwarnungen herausgegeben	es gelten entsprechende warnungen des deutschen wetterdienstes	der deutsche wetterdienst hat entsprechende warnungen herausgegeben	0.94119304	0.86580247	0.86580247	0.86368245	0.7889069
und das wetter im südöstlichen mittelmeer das beruhigt sich nur langsam	im westen und nordwesten beruhigt sich das wetter später wieder	am wochenende beruhigt sich dann das wetter langsam	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	der hält sich morgen in manchen regionen zäh auch dichtere wolken sind zunächst noch dabei aber es bleibt weitgehend trocken	da ist der boden noch gefroren am rhein wie gesagt da entspannt sich die lage bei plusgraden	0.90389997	0.88606954	0.87642246	0.8750625	0.8744567
am tag drei grad auf usedom bis zwölf grad im emsland	am tag vier grad im sauerland und zwölf grad im breisgau	am tag neunzehn grad an der nordsee und sechsundzwanzig grad in teilen thüringens und sachsens	am tag zehn grad in der mitte in höheren lagen sechzehn grad im süden	am tag sieben grad an der ostsee und fünfzehn grad am rhein	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	0.93363154	0.93222576	0.92442524	0.92432	0.92046744
am freitag teils sonne teils wolken im äußersten süden anfangs noch regnerisch	in der nordwesthälfte teils freundlich teils wolkig und meist trocken	am sonntag vor allem im osten und süden noch schauer oder gewitter sonst überwiegend freundlich	am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen	am tag in der nordhälfte etwas regen schnee oder gefrierender regen	ab sonntag wird es wieder milder dabei gibt es viele wolken zeitweise fällt regen im nordwesten windig	0.89767814	0.8937608	0.8935808	0.8865053	0.8845247
der teilweise kräftige regen breitet sich im tagesverlauf über die mitte weiter nach süden aus	das hoch über den azoren weitet sich bis nach süddeutschland aus	am sonntag vor allem in der südosthälfte gewitterschauer sonst setzt sich wieder meist die sonne durch	der nordwestwind bläst schwach bis mäßig in der nordosthälfte auch frisch in den hochlagen der östlichen mittelgebirge stark böig	teilweise kräftiger regen zieht heute nacht über uns ostwärts	im verlauf kommt im norden und nordwesten teilweise kräftiger regen auf einzelne gewitter sind dabei	0.8812015	0.871232	0.86387485	0.86187255	0.86066103
an der elbe einzelne schauer im nordwesten aber schon wieder deutlich freundlicher	am mittwoch in der nordhälfte regenschauer richtung süden ist es freundlicher	am samstag ist es in der südhälfte freundlich in der nordhälfte einzelne schauer	die neue woche beginnt noch wechselhaft und etwas kühler	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	morgen überwiegen in der nordosthälfte die wolken und es fallen einzelne schauer	0.90177476	0.886703	0.88419694	0.8813992	0.8809938
sonst einzelne schauer an der nordsee auch gewitter	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	0.9378556	0.89899004	0.8970321	0.8950949	0.8886979
zunächst regnet es richtung südosten noch etwas im bergland auch schnee am nachmittag regnet es im westen und nordwesten	am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland	am montag regnet es vor allem im norden und osten weiter und besonders im osten wird es windig etwas sonne am ehesten im süden	gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten	am montag ist es wechselhaft mal sonne mal wolken vor allem in der osthälfte einige kräftige schauer und gewitter	am freitag schneit es im westen und süden ab und an in tiefen lagen im westen auch regen	0.8952083	0.88913786	0.88479435	0.8793503	0.87657195
und nun die wettervorhersage für morgen mittwoch den achten september	und nun die wettervorhersage für morgen samstag den zwölften september	und nun die wettervorhersage für morgen dienstag den vierzehnten september	und nun die wettervorhersage für morgen donnerstag den achten april	und nun die wettervorhersage für morgen montag den zwölften april	und nun die wettervorhersage für morgen mittwoch den zwölften januar	0.98349243	0.9807499	0.9717244	0.97134507	0.96735346
schwacher bis mäßiger im norden zum teil frischer südost bis ostwind der im südwesten später auf südwest dreht an den küsten bläst er stark mit stürmischen böen	schwacher bis mäßiger im norden auch frischer wind aus ost bis südost an der nordsee und auf den bergen ist er stark mit stürmischen böen	der wind weht meist mäßig im osten und an der see frischer wind mit starken böen in den hochlagen der osthälfte sturmböen	der nordwestwind bläst schwach bis mäßig in der nordosthälfte auch frisch in den hochlagen der östlichen mittelgebirge stark böig	dort im süden weht der wind meist nur schwach richtung norden mäßiger zeitweise auch frischer wind an den küsten starke bis stürmische böen	im norden weht der wind schwach bis mäßig aus west bis südwest sonst schwacher wind aus unterschiedlichen richtungen	0.94359994	0.9209692	0.9194427	0.9136741	0.90728295
am donnerstag regnet es vor allem im süden und osten mancherorts	am montag scheint verbreitet die sonne richtung küsten und alpen ist es wolkiger aber es regnet nur vereinzelt	am samstag regnet es noch etwas in küstennähe sonst meist freundlich und trocken	am tag im osten viel sonne in der westhälfte regnet es zwischen niederrhein und ostfriesland	gegen späten nachmittag oder abend gibt es wahrscheinlich die ersten regenschauer im nordwesten	heute nacht gibt es im norden und nordosten viele wolken örtlich regnet oder nieselt es etwas	0.90299606	0.8906809	0.88600045	0.8805549	0.8802445
am sonntag vor allem im osten und süden noch schauer oder gewitter sonst überwiegend freundlich	am dienstag ist es in der westhälfte meist freundlich ansonsten stellenweise schauer oder gewitter	am freitag teils sonne teils wolken im äußersten süden anfangs noch regnerisch	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	auch am dienstag und mittwoch mal sonne mal wolken dazu schauer in der südosthälfte teils schwere gewitter	im norden und nordosten deutschlands bleibt es morgen meist noch wolkenverhangen mit etwas regen	0.8992799	0.8937608	0.8906327	0.8884874	0.8854222
in der neuen woche kühlt es dann bei wechselhaftem wetter deutlich ab	die neue woche beginnt noch wechselhaft und etwas kühler	in der dahinter einfließenden kaltluft gestaltet sich das wetter morgen wechselhaft	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	im verlauf der woche geht es dann unbeständig und sehr mild weiter	am wochenende beruhigt sich dann das wetter langsam	0.8813991	0.8746562	0.87188464	0.871276	0.8672675
am tag zehn grad an der nordfriesischen küste zwanzig grad in niederbayern	am tag zwölf grad an der ostsee und bis zwanzig grad in niederbayern	am tag vier grad im sauerland und zwölf grad im breisgau	am tag elf grad im vogtland und einundzwanzig grad am oberrhein	am tag sechs grad an den alpen und dreizehn grad am oberrhein	am tag sechzehn grad an der ostsee und bis zu siebenundzwanzig grad am oberrhein	0.963867	0.92631185	0.92348903	0.9166582	0.915849
und dann drängen die neuen wolken heran hier im nordwesten die können am nachmittag erste spritzer regen an der nordsee bringen und der wind frischt dazu auf aus süd südwest	morgen breiten sich diese regenwolken dann weiter über die mitte richtung westen aber vor allen dingen auch nach baden württemberg und bayern aus	dreh und angelpunkt ist nämlich dieses tiefdruckgebiet über dem nordatlantik es schickt uns den regen letztendlich erst einmal nach norddeutschland aber dann heute nacht mehr und mehr in die mitte	am sonntag legt der wind noch zu dazu von nordwesten wolken und etwas regen	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	wenn der verschwunden ist zeigt sich morgen im süden die sonne während sich die wolken weiter richtung donau ausbreiten und dabei immer größere lücken bekommen	0.90522194	0.90195006	0.8953284	0.892191	0.89072645
deutschland bleibt unter tiefdruckeinfluss und in den nächsten tagen erwartet uns meist trübes wetter mit ein wenig regen oder schnee	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	der donnerstag wird dann richtig krass da erwarten wir unwetter in deutschland und große temperaturunterschiede sechs bis zwanzig grad	im norden und nordosten deutschlands bleibt es morgen meist noch wolkenverhangen mit etwas regen	kalte teilweise feuchte luft bestimmt das wetter in deutschland	0.896081	0.8901372	0.888919	0.8885443	0.88519144
heute nacht gibt es an der oder noch einzelne schneeschauer	dort wird es am dienstag windig dazu gibt es einzelne schauer	heute nacht minus zwei grad an der nordsee und bis minus zwanzig grad in einzelnen alpentälern	in teilen bayerns und sachsens gibt es neben schauern und gewittern auch wolkenlücken	vier grad heute nacht im allgäu sowie an der oder dreizehn grad an der nordsee	morgen gibt es im osten und südosten bei einer mischung aus sonne und wolken zum teil kräftige schauer oder gewitter	0.86356634	0.8530891	0.844198	0.8434869	0.83943725
örtlich ist gefrierender regen dabei richtung nordosten auch schnee	am tag in der nordhälfte etwas regen schnee oder gefrierender regen	am sonntag gibt es viele wolken gebietsweise regen oder schneeregen im bergland schnee	im bergland zum teil schnee an den alpen auch für längere zeit regen oder schnee	im osten und süden am dienstag einzelne schauer dabei bis in mittlere lagen schnee sonst teils nebel teils wolken oder sonne	am sonntag im süden nach nebelauflösung häufig sonnig sonst viele wolken und stellenweise etwas regen	0.9159808	0.90028584	0.89768726	0.8930664	0.88997245
dazu weht ein schwacher bis mäßiger wind aus südost bis süd	abgesehen von schauer und gewitterböen weht der wind schwach bis mäßig aus nordwest bis nord	in der südhälfte weht der wind schwach sonst schwach bis mäßig richtung küsten frisch und stark böig	der wind weht schwach bis mäßig aus süd bis südwest	der wind aus süd bis west weht schwach bis mäßig	der wind weht meist schwach aus ost bis nordost	0.93182534	0.92623335	0.91985273	0.9111976	0.9068269
dort morgen sieben grad nordöstlich der elbe teilweise nur minus ein grad	an der ostseeküste heute nacht minus zwei am alpenrand bis minus fünfzehn grad	nordöstlich der elbe morgen örtlich minus ein am oberrhein bis plus acht grad	dort morgen sechs grad sonst temperaturen zwischen minus ein und plus fünf grad	an der saar heute nacht milde sechzehn an der elbe teilweise nur acht grad	an der küste morgen kühle neun grad im breisgau bis achtzehn grad	0.92420435	0.9191086	0.91908383	0.9153856	0.9094722
die kalte luft bleibt uns erhalten wobei die temperaturen bis freitag noch weiter zurückgehen	auch am wochenende sorgt es für viel sonnenschein bei weiter steigenden temperaturen	in den kommenden tagen bestimmt das tief über osteuropa unser wetter die kühle luft bleibt uns zunächst erhalten	über deutschland liegt morgen ein hochdruckgebiet das uns verbreitet sonniges und trockenes wetter beschert	das hoch gewinnt wieder an kraft und beschert uns am wochenende viel sonnenschein bei meist sommerlichen temperaturen	besonders in der südhälfte gibt es nebel oder hochnebel der sich morgen wieder teilweise zäh halten kann	0.8712746	0.8669443	0.86097455	0.8573706	0.84885585
im norden schwacher wind aus unterschiedlichen richtungen sonst weht er mäßig	im norden mäßiger wind an den küsten weht er teilweise frisch	in der südhälfte weht der wind schwach sonst schwach bis mäßig richtung küsten frisch und stark böig	der wind weht meist schwach aus unterschiedlichen richtungen	der wind weht schwach bis mäßig am meer auch frisch	meist weht der wind schwach aus westlichen richtungen	0.9056908	0.90163386	0.90160394	0.89873517	0.88487005
in den höhenlagen süddeutschlands frischer wind	im westen und nordwesten frischer wind	im süden schwacher wind	in der südwesthälfte morgen teils wolken teils längere zeit sonnenschein	in der osthälfte morgen mal sonne mal dichtere wolken später auch örtliche schauer oder gewitter	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	0.94536966	0.91483855	0.86867416	0.86537784	0.86332333
auch zu beginn der kommenden woche ändert sich nur wenig	auch in der neuen woche ändert sich erstmal wenig	an den temperaturen ändert sich wenig	auch in den folgenden tagen ändert sich an diesem wechselhaften wetter wenig	sonntag und montag ändert sich an diesem ungemütlichen und recht kühlen wetter noch wenig	samstag und sonntag ändert sich an diesem wetter noch wenig	0.8875857	0.8482744	0.81719375	0.806352	0.7963154
und nun die wettervorhersage für morgen montag den achtzehnten april	und nun die wettervorhersage für morgen dienstag den neunzehnten april	und nun die wettervorhersage für morgen montag den zwölften april	und nun die wettervorhersage für morgen donnerstag den achten april	und nun die wettervorhersage für morgen dienstag den vierzehnten september	und nun die wettervorhersage für morgen samstag den zweiten april	0.9923666	0.9854648	0.9779227	0.97186285	0.97098964
sonst viel sonne ein paar lockere wolken im nordwesten fallen am nachmittag einzelne schauer	am sonntag im norden noch wolkig und vor allem in küstennähe einzelne schauer	am tag ist es im westen freundlich sonst sonne und dichtere wolken im wechsel hier und da fallen einzelne schauer	am samstag überall mehr wolken als sonne in der südosthälfte zum teil kräftiger regen richtung nordwesten nur einzelne schauer	in der nordwesthälfte morgen mal sonne mal wolken und immer wieder zum teil kräftige am nachmittag auch gewittrige schauer	heute nacht gibt es hier und da schauer an der nordsee auch kurze gewitter	0.9379428	0.9350786	0.9314741	0.9287055	0.9137838
